Year,Scenario,Metric,Value,% Reduction vs S0
2010,S0 (baseline),Energy Intensity (MJ/t·km),34.80741562455726,0.0
2011,S0 (baseline),Energy Intensity (MJ/t·km),34.770440022311305,0.0
2012,S0 (baseline),Energy Intensity (MJ/t·km),34.73346442006535,0.0
2013,S0 (baseline),Energy Intensity (MJ/t·km),34.69648881781941,0.0
2014,S0 (baseline),Energy Intensity (MJ/t·km),34.659513215573455,0.0
2015,S0 (baseline),Energy Intensity (MJ/t·km),34.6225376133275,0.0
2016,S0 (baseline),Energy Intensity (MJ/t·km),34.58556201108155,0.0
2017,S0 (baseline),Energy Intensity (MJ/t·km),34.5485864088356,0.0
2018,S0 (baseline),Energy Intensity (MJ/t·km),34.511610806589644,0.0
2019,S0 (baseline),Energy Intensity (MJ/t·km),34.47463520434369,0.0
2020,S0 (baseline),Energy Intensity (MJ/t·km),34.43765960209774,0.0
2021,S0 (baseline),Energy Intensity (MJ/t·km),34.400683999851786,0.0
2022,S0 (baseline),Energy Intensity (MJ/t·km),34.36370839760583,0.0
2023,S0 (baseline),Energy Intensity (MJ/t·km),34.32673279535988,0.0
2024,S0 (baseline),Energy Intensity (MJ/t·km),34.28975719311393,0.0
2025,S0 (baseline),Energy Intensity (MJ/t·km),34.252781590867976,0.0
2026,S0 (baseline),Energy Intensity (MJ/t·km),34.21580598862202,0.0
2027,S0 (baseline),Energy Intensity (MJ/t·km),34.17883038637607,0.0
2028,S0 (baseline),Energy Intensity (MJ/t·km),34.14185478413012,0.0
2029,S0 (baseline),Energy Intensity (MJ/t·km),34.104879181884165,0.0
2030,S0 (baseline),Energy Intensity (MJ/t·km),34.06790357963821,0.0
2031,S0 (baseline),Energy Intensity (MJ/t·km),34.03092797739226,0.0
2032,S0 (baseline),Energy Intensity (MJ/t·km),33.99395237514631,0.0
2033,S0 (baseline),Energy Intensity (MJ/t·km),33.95697677290036,0.0
2034,S0 (baseline),Energy Intensity (MJ/t·km),33.92000117065441,0.0
2035,S0 (baseline),Energy Intensity (MJ/t·km),33.883025568408456,0.0
2036,S0 (baseline),Energy Intensity (MJ/t·km),33.846049966162504,0.0
2037,S0 (baseline),Energy Intensity (MJ/t·km),33.80907436391655,0.0
2038,S0 (baseline),Energy Intensity (MJ/t·km),33.7720987616706,0.0
2039,S0 (baseline),Energy Intensity (MJ/t·km),33.735123159424646,0.0
2040,S0 (baseline),Energy Intensity (MJ/t·km),33.69814755717869,0.0
2041,S0 (baseline),Energy Intensity (MJ/t·km),33.66117195493274,0.0
2042,S0 (baseline),Energy Intensity (MJ/t·km),33.62419635268679,0.0
2043,S0 (baseline),Energy Intensity (MJ/t·km),33.587220750440835,0.0
2044,S0 (baseline),Energy Intensity (MJ/t·km),33.55024514819488,0.0
2045,S0 (baseline),Energy Intensity (MJ/t·km),33.51326954594893,0.0
2046,S0 (baseline),Energy Intensity (MJ/t·km),33.47629394370298,0.0
2047,S0 (baseline),Energy Intensity (MJ/t·km),33.439318341457025,0.0
2048,S0 (baseline),Energy Intensity (MJ/t·km),33.40234273921107,0.0
2049,S0 (baseline),Energy Intensity (MJ/t·km),33.36536713696512,0.0
2050,S0 (baseline),Energy Intensity (MJ/t·km),33.32839153471917,0.0
2002,S1 (Net-zero policy),Energy Intensity (MJ/t·km),35.10322044252488,0.0
2003,S1 (Net-zero policy),Energy Intensity (MJ/t·km),35.06624484027893,0.0
2004,S1 (Net-zero policy),Energy Intensity (MJ/t·km),35.029269238032974,0.0
2005,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.99229363578702,0.0
2006,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.95531803354107,0.0
2007,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.918342431295116,0.0
2008,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.88136682904916,0.0
2009,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.84439122680321,0.0
2010,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.80741562455726,0.0
2011,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.770440022311305,0.0
2012,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.73346442006535,0.0
2013,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.69648881781941,0.0
2014,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.659513215573455,0.0
2015,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.6225376133275,0.0
2016,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.58556201108155,0.0
2017,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.5485864088356,0.0
2018,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.511610806589644,0.0
2019,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.47463520434369,0.0
2020,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.43765960209774,0.0
2021,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.400683999851786,0.0
2022,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.36370839760583,0.0
2023,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.32673279535988,0.0
2024,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.28975719311393,0.0
2025,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.252781590867976,0.0
2026,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.21580598862202,0.0
2027,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.17883038637607,0.0
2028,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.14185478413012,0.0
2029,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.104879181884165,0.0
2030,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.06790357963821,0.0
2031,S1 (Net-zero policy),Energy Intensity (MJ/t·km),34.03092797739226,0.0
2032,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.99395237514631,0.0
2033,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.95697677290036,0.0
2034,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.92000117065441,0.0
2035,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.883025568408456,0.0
2036,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.846049966162504,0.0
2037,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.80907436391655,0.0
2038,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.7720987616706,0.0
2039,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.735123159424646,0.0
2040,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.69814755717869,0.0
2041,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.66117195493274,0.0
2042,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.62419635268679,0.0
2043,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.587220750440835,0.0
2044,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.55024514819488,0.0
2045,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.51326954594893,0.0
2046,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.47629394370298,0.0
2047,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.439318341457025,0.0
2048,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.40234273921107,0.0
2049,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.36536713696512,0.0
2050,S1 (Net-zero policy),Energy Intensity (MJ/t·km),33.32839153471917,0.0
2002,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),35.10322044252488,0.0
2003,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),35.06624484027893,0.0
2004,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),35.029269238032974,0.0
2005,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.99229363578702,0.0
2006,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.95531803354107,0.0
2007,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.918342431295116,0.0
2008,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.88136682904916,0.0
2009,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.84439122680321,0.0
2010,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.80741562455726,0.0
2011,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.770440022311305,0.0
2012,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.73346442006535,0.0
2013,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.69648881781941,0.0
2014,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.659513215573455,0.0
2015,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.6225376133275,0.0
2016,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.58556201108155,0.0
2017,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.5485864088356,0.0
2018,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.511610806589644,0.0
2019,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.47463520434369,0.0
2020,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.43765960209774,0.0
2021,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.400683999851786,0.0
2022,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.36370839760583,0.0
2023,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.32673279535988,0.0
2024,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.28975719311393,0.0
2025,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.252781590867976,0.0
2026,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.21580598862202,0.0
2027,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.17883038637607,0.0
2028,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.14185478413012,0.0
2029,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.104879181884165,0.0
2030,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.06790357963821,0.0
2031,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),34.03092797739226,0.0
2032,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.99395237514631,0.0
2033,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.95697677290036,0.0
2034,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.92000117065441,0.0
2035,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.883025568408456,0.0
2036,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.846049966162504,0.0
2037,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.80907436391655,0.0
2038,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.7720987616706,0.0
2039,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.735123159424646,0.0
2040,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.69814755717869,0.0
2041,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.66117195493274,0.0
2042,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.62419635268679,0.0
2043,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.587220750440835,0.0
2044,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.55024514819488,0.0
2045,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.51326954594893,0.0
2046,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.47629394370298,0.0
2047,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.439318341457025,0.0
2048,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.40234273921107,0.0
2049,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.36536713696512,0.0
2050,S2 (Fuel switch – HGV→HVO),Energy Intensity (MJ/t·km),33.32839153471917,0.0
2002,S3 (Van electrification),Energy Intensity (MJ/t·km),35.10322044252488,0.0
2003,S3 (Van electrification),Energy Intensity (MJ/t·km),35.06624484027893,0.0
2004,S3 (Van electrification),Energy Intensity (MJ/t·km),35.029269238032974,0.0
2005,S3 (Van electrification),Energy Intensity (MJ/t·km),34.99229363578702,0.0
2006,S3 (Van electrification),Energy Intensity (MJ/t·km),34.95531803354107,0.0
2007,S3 (Van electrification),Energy Intensity (MJ/t·km),34.918342431295116,0.0
2008,S3 (Van electrification),Energy Intensity (MJ/t·km),34.88136682904916,0.0
2009,S3 (Van electrification),Energy Intensity (MJ/t·km),34.84439122680321,0.0
2010,S3 (Van electrification),Energy Intensity (MJ/t·km),34.80741562455726,0.0
2011,S3 (Van electrification),Energy Intensity (MJ/t·km),34.770440022311305,0.0
2012,S3 (Van electrification),Energy Intensity (MJ/t·km),34.73346442006535,0.0
2013,S3 (Van electrification),Energy Intensity (MJ/t·km),34.69648881781941,0.0
2014,S3 (Van electrification),Energy Intensity (MJ/t·km),34.659513215573455,0.0
2015,S3 (Van electrification),Energy Intensity (MJ/t·km),34.6225376133275,0.0
2016,S3 (Van electrification),Energy Intensity (MJ/t·km),34.58556201108155,0.0
2017,S3 (Van electrification),Energy Intensity (MJ/t·km),34.5485864088356,0.0
2018,S3 (Van electrification),Energy Intensity (MJ/t·km),34.511610806589644,0.0
2019,S3 (Van electrification),Energy Intensity (MJ/t·km),34.47463520434369,0.0
2020,S3 (Van electrification),Energy Intensity (MJ/t·km),34.43765960209774,0.0
2021,S3 (Van electrification),Energy Intensity (MJ/t·km),34.400683999851786,0.0
2022,S3 (Van electrification),Energy Intensity (MJ/t·km),34.36370839760583,0.0
2023,S3 (Van electrification),Energy Intensity (MJ/t·km),34.32673279535988,0.0
2024,S3 (Van electrification),Energy Intensity (MJ/t·km),34.06246265412533,0.6628642416699249
2025,S3 (Van electrification),Energy Intensity (MJ/t·km),34.023381431478526,0.6697270958298085
2026,S3 (Van electrification),Energy Intensity (MJ/t·km),33.98430528399504,0.6765899499896699
2027,S3 (Van electrification),Energy Intensity (MJ/t·km),33.945234211674865,0.6834528041495425
2028,S3 (Van electrification),Energy Intensity (MJ/t·km),33.906168214518,0.6903156583094372
2029,S3 (Van electrification),Energy Intensity (MJ/t·km),33.86710729252445,0.6971785124692986
2030,S3 (Van electrification),Energy Intensity (MJ/t·km),33.828051445694214,0.7040413666291823
2031,S3 (Van electrification),Energy Intensity (MJ/t·km),33.78900067402729,0.7109042207890659
2032,S3 (Van electrification),Energy Intensity (MJ/t·km),33.749954977523686,0.7177670749489384
2033,S3 (Van electrification),Energy Intensity (MJ/t·km),33.710914356183395,0.7246299291088221
2034,S3 (Van electrification),Energy Intensity (MJ/t·km),33.67187881000641,0.7314927832687057
2035,S3 (Van electrification),Energy Intensity (MJ/t·km),33.632848338992744,0.7383556374285782
2036,S3 (Van electrification),Energy Intensity (MJ/t·km),33.59382294314239,0.7452184915884619
2037,S3 (Van electrification),Energy Intensity (MJ/t·km),33.554802622455355,0.7520813457483233
2038,S3 (Van electrification),Energy Intensity (MJ/t·km),33.51578737693163,0.7589441999082069
2039,S3 (Van electrification),Energy Intensity (MJ/t·km),33.47677720657122,0.7658070540680684
2040,S3 (Van electrification),Energy Intensity (MJ/t·km),33.43777211137412,0.7726699082279409
2041,S3 (Van electrification),Energy Intensity (MJ/t·km),33.39877209134033,0.7795327623878578
2042,S3 (Van electrification),Energy Intensity (MJ/t·km),33.35977714646986,0.7863956165477193
2043,S3 (Van electrification),Energy Intensity (MJ/t·km),33.320787276762694,0.7932584707076251
2044,S3 (Van electrification),Energy Intensity (MJ/t·km),33.28180248221885,0.8001213248674977
2045,S3 (Van electrification),Energy Intensity (MJ/t·km),33.24282276283832,0.8069841790273702
2046,S3 (Van electrification),Energy Intensity (MJ/t·km),33.20384811862111,0.8138470331872427
2047,S3 (Van electrification),Energy Intensity (MJ/t·km),33.164878549567206,0.8207098873471264
2048,S3 (Van electrification),Energy Intensity (MJ/t·km),33.12591405567662,0.82757274150701
2049,S3 (Van electrification),Energy Intensity (MJ/t·km),33.08695463694934,0.8344355956668825
2050,S3 (Van electrification),Energy Intensity (MJ/t·km),33.048000293385385,0.841298449826744
2002,S4 (Combined high-impact),Energy Intensity (MJ/t·km),35.10322044252488,0.0
2003,S4 (Combined high-impact),Energy Intensity (MJ/t·km),35.06624484027893,0.0
2004,S4 (Combined high-impact),Energy Intensity (MJ/t·km),35.029269238032974,0.0
2005,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.99229363578702,0.0
2006,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.95531803354107,0.0
2007,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.918342431295116,0.0
2008,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.88136682904916,0.0
2009,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.84439122680321,0.0
2010,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.80741562455726,0.0
2011,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.770440022311305,0.0
2012,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.73346442006535,0.0
2013,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.69648881781941,0.0
2014,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.659513215573455,0.0
2015,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.6225376133275,0.0
2016,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.58556201108155,0.0
2017,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.5485864088356,0.0
2018,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.511610806589644,0.0
2019,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.47463520434369,0.0
2020,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.43765960209774,0.0
2021,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.400683999851786,0.0
2022,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.36370839760583,0.0
2023,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.32673279535988,0.0
2024,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.06246265412533,0.6628642416699249
2025,S4 (Combined high-impact),Energy Intensity (MJ/t·km),34.02322268173914,0.6701905610785097
2026,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.9839881272544,0.6775168804870835
2027,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.94475899067111,0.684843199895635
2028,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.90553527198926,0.6921695193042199
2029,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.86631697120886,0.6994958387127936
2030,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.82710408832991,0.7068221581213563
2031,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.78789662335241,0.714148477529919
2032,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.74869457627635,0.7214747969385038
2033,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.709497947101745,0.7288011163470776
2034,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.67030673582858,0.7361274357556513
2035,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.63112094245687,0.7434537551642251
2036,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.5919405669866,0.7507800745727988
2037,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.55276560941778,0.7581063939813726
2038,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.51359606975041,0.7654327133899352
2039,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.47443194798449,0.772759032798509
2040,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.43527324412001,0.7800853522070827
2041,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.39611995815698,0.7874116716156676
2042,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.3569720900954,0.7947379910242414
2043,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.31782963993526,0.8020643104328262
2044,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.278692607676575,0.8093906298414
2045,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.23956099331934,0.8167169492499737
2046,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.20043479686355,0.8240432686585364
2047,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.161314018309206,0.831369588067099
2048,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.122198657656305,0.838695907475695
2049,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.08308871490486,0.8460222268842466
2050,S4 (Combined high-impact),Energy Intensity (MJ/t·km),33.04398419005486,0.8533485462928314
